iter	Passed	Remaining
407	5728	8312
408	5743	8298
409	5757	8285
410	5771	8270
411	5785	8257
412	5799	8243
413	5814	8229
414	5828	8215
415	5842	8202
416	5856	8188
417	5870	8173
418	5885	8160
419	5899	8146
420	5913	8132
421	5927	8118
422	5942	8105
423	5955	8091
424	5970	8077
425	5984	8063
426	5998	8049
427	6013	8036
428	6027	8022
429	6041	8008
430	6058	7998
431	6072	7984
432	6086	7969
433	6100	7956
434	6114	7941
435	6128	7928
436	6147	7920
437	6160	7904
438	6174	7890
439	6188	7876
440	6202	7862
441	6216	7847
442	6231	7835
443	6245	7820
444	6259	7807
445	6273	7792
446	6287	7778
447	6301	7764
448	6315	7750
449	6329	7736
450	6343	7721
451	6358	7708
452	6372	7694
453	6386	7680
454	6400	7665
455	6413	7651
456	6427	7637
457	6441	7623
458	6455	7609
459	6470	7595
460	6484	7582
461	6498	7567
462	6513	7554
463	6526	7539
464	6541	7526
465	6555	7512
466	6570	7498
467	6584	7484
468	6599	7471
469	6613	7457
470	6627	7443
471	6642	7430
472	6655	7415
473	6670	7402
474	6683	7387
475	6697	7373
476	6711	7359
477	6726	7346
478	6740	7331
479	6755	7318
480	6769	7304
481	6783	7289
482	6797	7275
483	6811	7261
484	6825	7247
485	6838	7232
486	6853	7219
487	6868	7205
488	6882	7191
489	6895	7177
490	6909	7162
491	6924	7149
492	6937	7134
493	6951	7120
494	6965	7106
495	6980	7093
496	6994	7079
497	7009	7065
498	7024	7052
499	7037	7037
500	7051	7023
501	7066	7010
502	7080	6996
503	7094	6982
504	7108	6967
505	7122	6953
506	7136	6939
507	7150	6925
508	7165	6912
509	7179	6897
510	7193	6883
511	7207	6869
512	7221	6855
513	7236	6841
514	7250	6828
515	7265	6814
516	7279	6801
517	7293	6787
518	7307	6772
519	7322	6758
520	7335	6744
521	7349	6730
522	7363	6716
523	7378	6702
524	7392	6688
525	7406	6674
526	7420	6660
527	7434	6646
528	7449	6633
529	7463	6618
530	7478	6605
531	7492	6591
532	7505	6576
533	7519	6562
534	7533	6547
535	7547	6533
536	7561	6519
537	7576	6506
538	7589	6491
539	7603	6476
540	7616	6462
541	7631	6448
542	7645	6434
543	7659	6420
544	7672	6405
545	7687	6391
546	7701	6378
547	7715	6363
548	7729	6349
549	7743	6335
550	7757	6321
551	7770	6306
552	7784	6292
553	7799	6278
554	7813	6264
555	7827	6250
556	7841	6236
557	7855	6222
558	7869	6208
559	7884	6194
560	7898	6181
561	7913	6167
562	7927	6153
563	7940	6138
564	7955	6125
565	7969	6110
566	7984	6097
567	7998	6083
568	8012	6069
569	8026	6055
570	8040	6040
571	8054	6026
572	8068	6012
573	8083	5998
574	8097	5985
575	8112	5971
576	8125	5957
577	8139	5942
578	8153	5928
579	8167	5914
580	8181	5900
581	8196	5886
582	8210	5872
583	8224	5858
584	8245	5849
585	8259	5835
586	8274	5821
587	8287	5807
588	8302	5793
589	8316	5779
590	8330	5765
591	8344	5751
592	8358	5736
593	8372	5722
594	8386	5708
595	8400	5694
596	8413	5679
597	8427	5665
598	8441	5651
599	8456	5637
600	8470	5623
601	8483	5608
602	8498	5595
603	8512	5581
604	8526	5567
605	8540	5552
606	8554	5538
607	8568	5524
608	8582	5510
609	8596	5496
610	8611	5482
611	8625	5468
612	8638	5453
613	8652	5439
614	8666	5425
615	8680	5411
616	8694	5397
617	8708	5383
618	8723	5369
619	8737	5355
620	8751	5340
621	8765	5326
622	8778	5312
623	8793	5298
624	8807	5284
625	8822	5270
626	8835	5256
627	8850	5242
628	8863	5228
629	8894	5223
630	8908	5209
631	8923	5196
632	8937	5181
633	8951	5167
634	8965	5153
635	8980	5139
636	8993	5125
637	9008	5111
638	9022	5097
639	9036	5083
640	9050	5068
641	9064	5054
642	9078	5040
643	9092	5026
644	9106	5012
645	9120	4997
646	9134	4983
647	9148	4969
648	9162	4955
649	9176	4941
650	9191	4927
651	9205	4913
652	9219	4899
653	9233	4885
654	9247	4870
655	9262	4857
656	9275	4842
657	9290	4828
658	9303	4814
659	9317	4799
660	9332	4786
661	9345	4771
662	9360	4757
663	9373	4743
664	9388	4729
665	9402	4715
666	9416	4701
667	9430	4686
668	9444	4672
669	9458	4658
670	9471	4644
671	9486	4630
672	9500	4616
673	9514	4602
674	9528	4588
675	9542	4573
676	9556	4559
677	9570	4545
678	9584	4531
679	9598	4517
680	9612	4502
681	9627	4488
682	9641	4475
683	9655	4460
684	9669	4446
685	9683	4432
686	9697	4418
687	9711	4404
688	9725	4389
689	9739	4375
690	9753	4361
691	9767	4347
692	9781	4333
693	9795	4318
694	9809	4304
695	9823	4290
696	9838	4276
697	9851	4262
698	9866	4248
699	9880	4234
700	9896	4221
701	9910	4207
702	9925	4193
703	9941	4179
704	9965	4169
705	9979	4155
706	9993	4141
707	10007	4127
708	10023	4114
709	10037	4099
710	10051	4085
711	10064	4071
712	10094	4063
713	10109	4049
714	10122	4034
715	10135	4020
716	10150	4006
717	10164	3992
718	10177	3977
719	10190	3963
720	10204	3948
721	10218	3934
722	10231	3920
723	10246	3906
724	10260	3891
725	10274	3877
726	10287	3863
727	10300	3848
728	10313	3833
729	10326	3819
730	10340	3805
731	10354	3790
732	10368	3776
733	10381	3762
734	10395	3747
735	10409	3733
736	10422	3719
737	10436	3705
738	10451	3691
739	10466	3677
740	10480	3663
741	10494	3648
742	10508	3634
743	10522	3620
744	10537	3606
745	10552	3592
746	10566	3578
747	10580	3564
748	10594	3550
749	10608	3536
750	10622	3522
751	10636	3507
752	10651	3494
753	10665	3479
754	10680	3465
755	10693	3451
756	10707	3437
757	10721	3422
758	10735	3408
759	10750	3394
760	10764	3380
761	10778	3366
762	10791	3352
763	10806	3338
764	10821	3324
765	10836	3310
766	10851	3296
767	10865	3282
768	10879	3268
769	10893	3253
770	10907	3239
771	10922	3225
772	10938	3212
773	10953	3198
774	10967	3184
775	10981	3170
776	10995	3155
777	11010	3141
778	11023	3127
779	11037	3113
780	11051	3098
781	11065	3084
782	11079	3070
783	11091	3055
784	11105	3041
785	11119	3027
786	11133	3013
787	11146	2998
788	11161	2984
789	11174	2970
790	11187	2955
791	11201	2941
792	11214	2927
793	11229	2913
794	11243	2899
795	11256	2884
796	11271	2870
797	11284	2856
798	11298	2842
799	11312	2828
800	11326	2814
801	11340	2799
802	11355	2785
803	11370	2771
804	11384	2757
805	11397	2743
806	11412	2729
807	11427	2715
808	11441	2701
809	11456	2687
810	11471	2673
811	11485	2659
812	11499	2645
813	11514	2630
814	11527	2616
815	11541	2602
816	11555	2588
817	11569	2574
818	11583	2560
819	11597	2545
820	11612	2531
821	11626	2517
822	11639	2503
823	11653	2489
824	11666	2474
825	11681	2460
826	11694	2446
827	11708	2432
828	11721	2417
829	11735	2403
830	11749	2389
831	11762	2375
832	11776	2360
833	11790	2346
834	11804	2332
835	11818	2318
836	11832	2304
837	11845	2289
838	11858	2275
839	11871	2261
840	11885	2247
841	11899	2232
842	11912	2218
843	11925	2204
844	11938	2189
845	11952	2175
846	11966	2161
847	11980	2147
848	11994	2133
849	12008	2119
850	12022	2104
851	12035	2090
852	12049	2076
853	12062	2062
854	12075	2047
855	12090	2033
856	12103	2019
857	12118	2005
858	12132	1991
859	12146	1977
860	12159	1963
861	12172	1948
862	12186	1934
863	12200	1920
864	12214	1906
865	12228	1892
866	12241	1877
867	12254	1863
868	12268	1849
869	12281	1835
