iter	Logloss
0	0.6595884886
1	0.6322519266
2	0.6070205143
3	0.5845337821
4	0.5656197043
5	0.5490685433
6	0.5323118001
7	0.5196003838
8	0.5077457091
9	0.4972755934
10	0.4889688889
11	0.4804787424
12	0.4734909455
13	0.4666937439
14	0.4602561732
15	0.4562775394
16	0.4518253033
17	0.4479873728
18	0.4453835405
19	0.4413167739
20	0.4377856271
21	0.4353875008
22	0.4325098342
23	0.4298690766
24	0.4273558077
25	0.4253306234
26	0.4238558086
27	0.4213349314
28	0.4191967021
29	0.4174087899
30	0.4159813719
31	0.4146582644
32	0.413477926
33	0.4120221526
34	0.4107862877
35	0.4097168812
36	0.4081362918
37	0.4069455629
38	0.4060908536
39	0.4047192132
40	0.4033788014
41	0.4024786239
42	0.4017623739
43	0.4007789413
44	0.3998978521
45	0.3993449578
46	0.3982994173
47	0.3976759645
48	0.3969361089
49	0.3959734113
50	0.3951527738
51	0.3944066234
52	0.3937490657
53	0.3928326772
54	0.3924165796
55	0.3916590387
56	0.3908737383
57	0.3902962899
58	0.3897014214
59	0.3891838973
60	0.3884802078
61	0.3880709433
62	0.3876102935
63	0.3871461304
64	0.3865615026
65	0.3859997583
66	0.3856210703
67	0.3851885582
68	0.3846132791
69	0.3841668904
70	0.3840012198
71	0.3835249844
72	0.383061675
73	0.3826326305
74	0.3820535657
75	0.3817186678
76	0.3813210659
77	0.3807772327
78	0.3804662652
79	0.380030715
80	0.3795231116
81	0.3788960851
82	0.3784669743
83	0.3781265846
84	0.3776839101
85	0.377172756
86	0.3768519309
87	0.3766280744
88	0.3764144695
89	0.3760735246
90	0.3757900804
91	0.3753372126
92	0.3753205536
93	0.3749684489
94	0.3745003363
95	0.3740238341
96	0.3733620916
97	0.372888227
98	0.3725446276
99	0.3722100638
100	0.3718949826
101	0.3715536271
102	0.3712482192
103	0.3711953596
104	0.370968226
105	0.3706008298
106	0.3702474392
107	0.369882932
108	0.3695968277
109	0.3692611582
110	0.3689938382
111	0.3687318558
112	0.368293707
113	0.3678729134
114	0.3676938401
115	0.3675094479
116	0.3671916015
117	0.3669205734
118	0.366872665
119	0.3666591846
120	0.3666481932
121	0.366397821
122	0.3662474367
123	0.366007669
124	0.3660069195
125	0.3657137853
126	0.365393636
127	0.3652195933
128	0.3649498725
129	0.364558394
130	0.3641901455
131	0.3641888752
132	0.363939432
133	0.3636006525
134	0.3634447515
135	0.3631654043
136	0.3628694323
137	0.3627240886
138	0.3624169034
139	0.3617726542
140	0.3615053344
141	0.3611268168
142	0.3608313327
143	0.3607133837
144	0.3603549784
145	0.3601296187
146	0.3599357752
147	0.3595019098
148	0.3592798653
149	0.3591748528
150	0.3590364016
151	0.3586346139
152	0.3583381912
153	0.3581337063
154	0.3579004671
155	0.3575550498
156	0.357459703
157	0.3571475287
158	0.3569500536
159	0.3565769204
160	0.3565178615
161	0.3562629126
162	0.3558109802
163	0.3554496869
164	0.3548262759
165	0.3546991514
166	0.3543632849
167	0.3541587802
168	0.3538549744
169	0.3535681292
170	0.353126547
171	0.3527644348
172	0.3525650656
173	0.3524410538
174	0.3521342602
175	0.3516877864
176	0.3514450784
177	0.3513841539
178	0.3508774745
179	0.350692267
180	0.3502966722
181	0.3502158568
182	0.350116621
183	0.3499980552
184	0.3499969144
185	0.34990039
186	0.3495235663
187	0.3490323148
188	0.3488284777
189	0.3484132797
190	0.3482121515
191	0.3481259008
192	0.3478907394
193	0.3476014781
194	0.3474820297
195	0.347091908
196	0.3468419774
197	0.346304578
198	0.3461674359
199	0.3459799493
200	0.3457437661
201	0.3454179996
202	0.3452215518
203	0.3451242538
204	0.3449469681
